formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
ZrRh,123,Tetragonal,P4/mmm,4/mmm
ZrBeB,187,Hexagonal,P-6m2,-6m2
ZrNb(SiRu)2,6,Monoclinic,Pm,m
ZrB2Mo3C2,38,Orthorhombic,Amm2,mm2
ZrScVNi3,160,Trigonal,R3m,3m
ZrIn,166,Trigonal,R-3m,-3m
ZrTi2Ni9,160,Trigonal,R3m,3m
ZrU4O10,166,Trigonal,R-3m,-3m
ZrCrW,74,Orthorhombic,Imma,mmm
ZrCrMo,74,Orthorhombic,Imma,mmm
ZrTiAu,38,Orthorhombic,Amm2,mm2
ZrFeCo,74,Orthorhombic,Imma,mmm
ZrCuF6,225,Cubic,Fm-3m,m-3m
ZrAu,123,Tetragonal,P4/mmm,4/mmm
ZrCoNi,74,Orthorhombic,Imma,mmm
ZrVNi,38,Orthorhombic,Amm2,mm2
ZrSe,2,Triclinic,P-1,-1
ZrCrCu,74,Orthorhombic,Imma,mmm
ZrCrCuS4,74,Orthorhombic,Imma,mmm
ZrCrCuSe4,74,Orthorhombic,Imma,mmm
ZrMnFe,38,Orthorhombic,Amm2,mm2
ZrTi(NiH)2,38,Orthorhombic,Amm2,mm2
ZrAlN2,123,Tetragonal,P4/mmm,4/mmm
ZrTa(SiRu)2,6,Monoclinic,Pm,m
ZrNbFe4,164,Trigonal,P-3m1,-3m
ZrTiFe4,164,Trigonal,P-3m1,-3m
ZrInNi2,123,Tetragonal,P4/mmm,4/mmm
ZrMn3,156,Trigonal,P3m1,3m
ZrTi(PbO3)2,1,Triclinic,P1,1
ZrCrFe,38,Orthorhombic,Amm2,mm2
ZrMnCr,38,Orthorhombic,Amm2,mm2
ZrTi(PbO3)2,160,Trigonal,R3m,3m
ZrTaFe4,164,Trigonal,P-3m1,-3m
ZrInPt2,123,Tetragonal,P4/mmm,4/mmm
ZrTi(CrFe)2,8,Monoclinic,Cm,m
ZrAlPd,38,Orthorhombic,Amm2,mm2
ZrMoWO8,146,Trigonal,R3,3
ZrCoSi,38,Orthorhombic,Amm2,mm2
ZrCrCo,38,Orthorhombic,Amm2,mm2
ZrAlMo,38,Orthorhombic,Amm2,mm2
ZrAlNi2,123,Tetragonal,P4/mmm,4/mmm
ZrTi(PbO3)2,1,Triclinic,P1,1
ZrNi5(BO5)2,26,Orthorhombic,Pmc2_1,mm2
ZrCo3(BO4)2,26,Orthorhombic,Pmc2_1,mm2
ZrMnNi,38,Orthorhombic,Amm2,mm2
ZrMn6GaSn5,187,Hexagonal,P-6m2,-6m2
ZrAlOs,38,Orthorhombic,Amm2,mm2
ZrAlCu,74,Orthorhombic,Imma,mmm
ZrAlFe4,216,Cubic,F-43m,-43m
ZrCrCo,38,Orthorhombic,Amm2,mm2
ZrMnFe,38,Orthorhombic,Amm2,mm2
ZrVCo,38,Orthorhombic,Amm2,mm2
ZrInCuS4,74,Orthorhombic,Imma,mmm
ZrAlRh,38,Orthorhombic,Amm2,mm2
ZrAlIr,38,Orthorhombic,Amm2,mm2
ZrTi2(PbO3)3,8,Monoclinic,Cm,m
ZrAl2Zn,123,Tetragonal,P4/mmm,4/mmm
ZrMn6(GaSn2)2,191,Hexagonal,P6/mmm,6/mmm
ZrAlCo4,216,Cubic,F-43m,-43m
ZrAl3N4,47,Orthorhombic,Pmmm,mmm
ZrAlAu2,123,Tetragonal,P4/mmm,4/mmm
ZrAl6Mo,123,Tetragonal,P4/mmm,4/mmm
ZrCu(PO6)2,2,Triclinic,P-1,-1
Zr6P2O,12,Monoclinic,C2/m,2/m
ZrO2F5,10,Monoclinic,P2/m,2/m
Zr8AgPd3,123,Tetragonal,P4/mmm,4/mmm
Zr8Co3Cu,21,Orthorhombic,C222,222
Zr6Co2O,8,Monoclinic,Cm,m
Zr5Si3,6,Monoclinic,Pm,m
Zr6Ni2O,12,Monoclinic,C2/m,2/m
Zr6Fe2O,12,Monoclinic,C2/m,2/m
Zr4GeSb7,6,Monoclinic,Pm,m
ZrInPd2,123,Tetragonal,P4/mmm,4/mmm
ZrCrNi,38,Orthorhombic,Amm2,mm2
Zr4Si3Sb5,115,Tetragonal,P-4m2,-42m
ZrAlCo,38,Orthorhombic,Amm2,mm2
Zr4MoC5,166,Trigonal,R-3m,-3m
Zr5Se8,166,Trigonal,R-3m,-3m
Zr5Co4Ni,123,Tetragonal,P4/mmm,4/mmm
ZrInAu2,123,Tetragonal,P4/mmm,4/mmm
Zr4Pd,139,Tetragonal,I4/mmm,4/mmm
Zr4WC5,166,Trigonal,R-3m,-3m
Zr5AlNi4,118,Tetragonal,P-4n2,-42m
Zr4FeNi,97,Tetragonal,I422,422
Zr5(Te2P)2,166,Trigonal,R-3m,-3m
Zr4FeCo,97,Tetragonal,I422,422
Zr4Sc(NiSn)5,160,Trigonal,R3m,3m
ZnGaFeO4,74,Orthorhombic,Imma,mmm
Zn3Fe8CoO16,115,Tetragonal,P-4m2,-42m
ZnCdCu4(SnS4)2,111,Tetragonal,P-42m,-42m
Zn3Cr12(GaSe12)2,119,Tetragonal,I-4m2,-42m
YUAl4,216,Cubic,F-43m,-43m
Zr3Fe8Si,160,Trigonal,R3m,3m
Zn6B5Ir11,25,Orthorhombic,Pmm2,mm2
YUB8,65,Orthorhombic,Cmmm,mmm
Zr3BiF15,15,Monoclinic,C2/c,2/m
Zr2Cr3Fe,38,Orthorhombic,Amm2,mm2
ZnCr4NiO8,216,Cubic,F-43m,-43m
Zr2(CuSb)3,99,Tetragonal,P4mm,4mm
ZnFeCu4(GeS4)2,38,Orthorhombic,Amm2,mm2
Zr3Ti2(PbO3)5,8,Monoclinic,Cm,m
Zn3P6N12Cl,160,Trigonal,R3m,3m
YUS2,166,Trigonal,R-3m,-3m
Zn2Ag2(MoO4)3,1,Triclinic,P1,1
YZr4O10,87,Tetragonal,I4/m,4/m
Zn3In2O6,160,Trigonal,R3m,3m
Zr3GeAs5,6,Monoclinic,Pm,m
Zr2Ga3Co,8,Monoclinic,Cm,m
Zn2CrFe3O8,166,Trigonal,R-3m,-3m
Zn2NiO3,71,Orthorhombic,Immm,mmm
Zn10Pd3,8,Monoclinic,Cm,m
ZnGa2(TeO3)4,122,Tetragonal,I-42d,-42m
Zn4CdS5,156,Trigonal,P3m1,3m
ZnCd3GeS6,9,Monoclinic,Cc,m
Zr2P4O17,10,Monoclinic,P2/m,2/m
ZnCu2SnSeS3,1,Triclinic,P1,1
ZnCrFeO4,74,Orthorhombic,Imma,mmm
Zn(Co2O5)2,12,Monoclinic,C2/m,2/m
Zn(Ni2O5)2,12,Monoclinic,C2/m,2/m
Zr2Co3Mo,194,Hexagonal,P6_3/mmc,6/mmm
Zn2Cu10Sb4S13,121,Tetragonal,I-42m,-42m
ZnCd4(GaS2)10,1,Triclinic,P1,1
Zr4Ni(PO4)6,7,Monoclinic,Pc,m
YZr3F15,15,Monoclinic,C2/c,2/m
Zn(InAu4)3,25,Orthorhombic,Pmm2,mm2
ZnSi2Ni3,1,Triclinic,P1,1
Zr12Ti4Ni8O,166,Trigonal,R-3m,-3m
Zr3AlCo8,160,Trigonal,R3m,3m
YV2Fe10N,71,Orthorhombic,Immm,mmm
Zr3Ti2(PbO3)5,160,Trigonal,R3m,3m
Zn2InCuSe4,121,Tetragonal,I-42m,-42m
Zr2GaCo3,194,Hexagonal,P6_3/mmc,6/mmm
ZnNiTe3O8,5,Monoclinic,C2,2
YUCo10,47,Orthorhombic,Pmmm,mmm
YZr2Co9,160,Trigonal,R3m,3m
ZnFeBO4,26,Orthorhombic,Pmc2_1,mm2
ZnCr8Cu3Se16,160,Trigonal,R3m,3m
Zn3Cu(WO4)4,3,Monoclinic,P2,2
Zr2Sb2Pb4O13,44,Orthorhombic,Imm2,mm2
Zn8B4H3O15F,1,Triclinic,P1,1
YVFe11H,44,Orthorhombic,Imm2,mm2
YUTe6,38,Orthorhombic,Amm2,mm2
ZnMo3O14,44,Orthorhombic,Imm2,mm2
Zn15B6Rh17,25,Orthorhombic,Pmm2,mm2
ZnFe8Co3O16,115,Tetragonal,P-4m2,-42m
YVFe11,44,Orthorhombic,Imm2,mm2
ZrW2ClO10,45,Orthorhombic,Iba2,mm2
Zn7(SbO6)2,2,Triclinic,P-1,-1
Zn2Mo2NO10,12,Monoclinic,C2/m,2/m
Zr3MnCo8,160,Trigonal,R3m,3m
Zr2Ti(PbO3)3,156,Trigonal,P3m1,3m
Zr3(V2Fe)2,2,Triclinic,P-1,-1
Zn4Cu11(SnSe4)5,82,Tetragonal,I-4,-4
Zr8As5,26,Orthorhombic,Pmc2_1,mm2
Zn9Fe4,8,Monoclinic,Cm,m
Zr3(MnNi2)2,2,Triclinic,P-1,-1
ZnFe3(SnS4)2,44,Orthorhombic,Imm2,mm2
YU(CuSi)4,123,Tetragonal,P4/mmm,4/mmm
YTmTe2,123,Tetragonal,P4/mmm,4/mmm
Zr3Ti2(PbO3)5,8,Monoclinic,Cm,m
YThN2,123,Tetragonal,P4/mmm,4/mmm
YTh,65,Orthorhombic,Cmmm,mmm
YSbPd,216,Cubic,F-43m,-43m
YSc,187,Hexagonal,P-6m2,-6m2
Zn2Mo(WO4)2,1,Triclinic,P1,1
YSbPd2,123,Tetragonal,P4/mmm,4/mmm
YPaO4,123,Tetragonal,P4/mmm,4/mmm
Zn53Co7,3,Monoclinic,P2,2
Ca3NbO6,14,Monoclinic,P2_1/c,2/m
Cd5Fe2(P2O7)4,20,Orthorhombic,C222_1,222
CaC4,224,Cubic,Pn-3m,m-3m
Cd3H8(SO4)3,15,Monoclinic,C2/c,2/m
Cd4AsPI3,205,Cubic,Pa-3,m-3
Ca3Fe2Br2O5,139,Tetragonal,I4/mmm,mmm
Ce(Cu2P)2,58,Orthorhombic,Pnnm,mmm
Ce3SiI3,214,Cubic,I4_132,432
Ca3Pr2Sb3O14,12,Monoclinic,C2/m,2/m
Ca3Nd2Sb3O14,12,Monoclinic,C2/m,2/m
Ca3Ge4Au7,58,Orthorhombic,Pnnm,mmm
CaP2PdO7,62,Orthorhombic,Pnma,mmm
Ca3Ge2Au9,58,Orthorhombic,Pnnm,mmm
Ca3Si4,176,Hexagonal,P6_3/m,6/m
Ce4CdNi,216,Cubic,F-43m,-43m
Ca4Pd,227,Cubic,Fd-3m,m-3m
Ca3BCBr2N,62,Orthorhombic,Pnma,mmm
