formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Hg3TeO6,230,Cubic,Ia-3d,m-3m
GaN5O14,82,Tetragonal,I-4,-4
Ca3Al4ZnO10,29,Orthorhombic,Pca2_1,mm2
Cs2KNiF6,225,Cubic,Fm-3m,m-3m
SbCNCl4O,176,Hexagonal,P6_3/m,6/m
SrLiBS3,62,Orthorhombic,Pnma,mmm
Cr4Si2Br2O7,7,Monoclinic,Pc,m
Li9S3N,221,Cubic,Pm-3m,m-3m
Ba2Ti2Si2O9F2,61,Orthorhombic,Pbca,mmm
LiLa2S2O8F3,15,Monoclinic,C2/c,2/m
SrCu(TeO3)2,213,Cubic,P4_132,432
BaZn2(BO3)2,19,Orthorhombic,P2_12_12_1,222
Na(CO)2,14,Monoclinic,P2_1/c,2/m
MnTl2As2S5,64,Orthorhombic,Cmce,mmm
CuS4BrN4,14,Monoclinic,P2_1/c,2/m
KCoPO4,173,Hexagonal,P6_3,6
KPO3,14,Monoclinic,P2_1/c,2/m
Ni3TeMo2O11,12,Monoclinic,C2/m,2/m
K3Sb5O14,32,Orthorhombic,Pba2,mm2
H12Pd(N5O4)2,2,Triclinic,P-1,-1
InTeClO3,14,Monoclinic,P2_1/c,2/m
BiO2,15,Monoclinic,C2/c,2/m
Ba3Sc(BO2)9,176,Hexagonal,P6_3/m,6/m
CaSeO3,14,Monoclinic,P2_1/c,2/m
Dy3CuSiS7,173,Hexagonal,P6_3,6
LaSbMo2O9,15,Monoclinic,C2/c,2/m
UH12C4N4O11,14,Monoclinic,P2_1/c,2/m
BaCaVP2O9,14,Monoclinic,P2_1/c,2/m
HoMoClO4,12,Monoclinic,C2/m,2/m
Sm(IO3)3,14,Monoclinic,P2_1/c,2/m
KEr(WO4)2,15,Monoclinic,C2/c,2/m
Cd2H2SO6,14,Monoclinic,P2_1/c,2/m
Ba2Cu(PO3)6,14,Monoclinic,P2_1/c,2/m
MnH2(CO2)2,60,Orthorhombic,Pbcn,mmm
S,58,Orthorhombic,Pnnm,mmm
CaMgAsO4F,9,Monoclinic,Cc,m
Ce3Si2BO10,61,Orthorhombic,Pbca,mmm
K2MoSeO6,14,Monoclinic,P2_1/c,2/m
SrBPO5,154,Trigonal,P3_221,32
Rb2Sb4O11,12,Monoclinic,C2/m,2/m
SiO2,58,Orthorhombic,Pnnm,mmm
SbSe(IF2)3,14,Monoclinic,P2_1/c,2/m
KMo2Cl7O2,15,Monoclinic,C2/c,2/m
Na2Ca3Ta2O9,155,Trigonal,R32,32
Sr2HoSbO6,14,Monoclinic,P2_1/c,2/m
CuMoO4,14,Monoclinic,P2_1/c,2/m
Sm3CuSnS7,173,Hexagonal,P6_3,6
NaLi2PO4,62,Orthorhombic,Pnma,mmm
KMnF3,62,Orthorhombic,Pnma,mmm
NaV(GeO3)2,15,Monoclinic,C2/c,-1
Na2V3P2O13,56,Orthorhombic,Pccn,mmm
Rb2NaMnF6,139,Tetragonal,I4/mmm,4/mmm
Pr3BWO9,173,Hexagonal,P6_3,6
SrLi2Ta2O7,63,Orthorhombic,Cmcm,mmm
In2Cu2SiS6,9,Monoclinic,Cc,m
AlPO4,4,Monoclinic,P2_1,2
LiCdCoF6,163,Trigonal,P-31c,-3m
LiMnF4,14,Monoclinic,P2_1/c,2/m
K6Ti2S6O,14,Monoclinic,P2_1/c,2/m
KCu(BiS2)2,36,Orthorhombic,Cmc2_1,mm2
In4(P2O7)3,14,Monoclinic,P2_1/c,2/m
NaCaVO4,63,Orthorhombic,Cmcm,mmm
Na8Hf(MoO4)6,14,Monoclinic,P2_1/c,2/m
K6U2Mo4O21,2,Triclinic,P-1,-1
RbS,71,Orthorhombic,Immm,mmm
Sb2SeI2F11,2,Triclinic,P-1,-1
K2U(MoO5)2,14,Monoclinic,P2_1/c,2/m
Ba3Na2Cr4F20,14,Monoclinic,P2_1/c,2/m
Rb2NaFeF6,225,Cubic,Fm-3m,m-3m
Ca3Mg(SiO4)2,14,Monoclinic,P2_1/c,2/m
Li5GaO2,91,Tetragonal,P4_122,422
BaLi2Ti6O14,64,Orthorhombic,Cmce,mmm
KNaGeO3,33,Orthorhombic,Pna2_1,mm2
Na2Ca3(Si3O8)2,2,Triclinic,P-1,-1
AlPO4,8,Monoclinic,Cm,m
Zn2SiO4,227,Cubic,Fd-3m,m-3m
Nb2Tl5S4Br9,71,Orthorhombic,Immm,mmm
KLiSi2O5,4,Monoclinic,P2_1,2
LiB6O9F,33,Orthorhombic,Pna2_1,mm2
SnH58C16S4(N11O9)2,2,Triclinic,P-1,-1
U3Tl2(IO5)4,2,Triclinic,P-1,-1
TiS2,166,Trigonal,R-3m,-3m
Rb2MnF6,225,Cubic,Fm-3m,m-3m
Ba6Nb2Ir(ClO6)2,164,Trigonal,P-3m1,-3m
Sr4NbAlO8,14,Monoclinic,P2_1/c,2/m
SiO2,148,Trigonal,R-3,-3
KMnF4,14,Monoclinic,P2_1/c,2/m
BeF2,180,Hexagonal,P6_222,622
Lu4Mo4O11,10,Monoclinic,P2/m,2/m
K4Ba(VS4)2,72,Orthorhombic,Ibam,mmm
GdSClO4,14,Monoclinic,P2_1/c,2/m
V2Ge(O2F)2,62,Orthorhombic,Pnma,mmm
K2Mo(SO5)2,14,Monoclinic,P2_1/c,2/m
BaTiO3,20,Orthorhombic,C222_1,222
LaH4S2NO8,11,Monoclinic,P2_1/m,2/m
KNd2NbO6,12,Monoclinic,C2/m,2/m
KNaSi2O5,14,Monoclinic,P2_1/c,2/m
MnBiS2Cl,62,Orthorhombic,Pnma,mmm
Sm2Tc2O7,227,Cubic,Fd-3m,m-3m
Rb2MnF6,186,Hexagonal,P6_3mc,6mm
TlF,39,Orthorhombic,Aem2,mm2
Ti4S8Cl6O,15,Monoclinic,C2/c,2/m
Te4W(OF4)5,2,Triclinic,P-1,-1
AlBPbO4,60,Orthorhombic,Pbcn,mmm
Te2AsCNF6,14,Monoclinic,P2_1/c,2/m
CuS,194,Hexagonal,P6_3/mmc,6/mmm
Pr4S3NCl3,186,Hexagonal,P6_3mc,6mm
CuH10(CO4)2,14,Monoclinic,P2_1/c,2/m
FeN3ClO3,186,Hexagonal,P6_3mc,6mm
TlVH6SO9,4,Monoclinic,P2_1,2
BF3,14,Monoclinic,P2_1/c,2/m
Ag2PO3F,15,Monoclinic,C2/c,2/m
GdAg(PO3)4,14,Monoclinic,P2_1/c,2/m
Ba4Nb2(OF4)3,15,Monoclinic,C2/c,2/m
Ag3PO4,223,Cubic,Pm-3n,m-3m
KFeF4,63,Orthorhombic,Cmcm,mmm
V6Fe4(CuO8)3,2,Triclinic,P-1,-1
BaTi2O5,62,Orthorhombic,Pnma,mmm
NaYCO3F2,62,Orthorhombic,Pnma,mmm
RbP(OF)2,62,Orthorhombic,Pnma,mmm
Pb(SeO3)2,14,Monoclinic,P2_1/c,2/m
CaHf4O9,15,Monoclinic,C2/c,2/m
SbC(Cl2O)2,2,Triclinic,P-1,-1
Ba(AuF6)2,221,Cubic,Pm-3m,m-3m
NaCaAlF6,14,Monoclinic,P2_1/c,2/m
Rb3PO4,62,Orthorhombic,Pnma,mmm
Ca(PtO2)2,131,Tetragonal,P4_2/mmc,4/mmm
TlSb3(AsS4)2,33,Orthorhombic,Pna2_1,mm2
Ba2CuIO2,11,Monoclinic,P2_1/m,2/m
Nd2Te4MoO14,2,Triclinic,P-1,-1
SiO2,38,Orthorhombic,Amm2,mm2
Ba4Tl2Cu2HgO10,139,Tetragonal,I4/mmm,4/mmm
Cs2Sn2Hg3S8,2,Triclinic,P-1,-1
Sm3BWO9,173,Hexagonal,P6_3,6
NdGa3(BO3)4,155,Trigonal,R32,32
Rb6Si10O23,189,Hexagonal,P-62m,-6m2
NaAu(SO4)2,14,Monoclinic,P2_1/c,2/m
La10S14O,142,Tetragonal,I4_1/acd,4/mmm
ZnS,186,Hexagonal,P6_3mc,6mm
TaF5,12,Monoclinic,C2/m,2/m
NaSr2CrF8,14,Monoclinic,P2_1/c,2/m
Na3MnF6,14,Monoclinic,P2_1/c,2/m
K6NbAs3O,198,Cubic,P2_13,23
F2,15,Monoclinic,C2/c,2/m
Mn3B7BrO13,29,Orthorhombic,Pca2_1,mm2
Mn13Al4Si2(SbO14)2,12,Monoclinic,C2/m,2/m
Ba2V5(PO6)4,8,Monoclinic,Cm,m
Na5Y(CO3)4,14,Monoclinic,P2_1/c,2/m
SiO2,63,Orthorhombic,Cmcm,mmm
NaAlAs2O7,14,Monoclinic,P2_1/c,2/m
AgPb4ClO4,85,Tetragonal,P4/n,4/m
K2NaFeO3,67,Orthorhombic,Cmme,mmm
Na5Fe3F14,14,Monoclinic,P2_1/c,2/m
Y4Al2O9,14,Monoclinic,P2_1/c,2/m
Sb2IBr2F11,61,Orthorhombic,Pbca,mmm
Na3CrF6,14,Monoclinic,P2_1/c,2/m
Na2Zn5(PO4)4,60,Orthorhombic,Pbcn,mmm
Rb2NaCrF6,225,Cubic,Fm-3m,m-3m
Na3Si3SnO9F,12,Monoclinic,C2/m,2/m
Cs3Mo5P6O25,159,Trigonal,P31c,3m
BaTaF7,205,Cubic,Pa-3,m-3
H9C3S2BrN2,2,Triclinic,P-1,-1
Bi2Te2WO10,15,Monoclinic,C2/c,2/m
HoMoO4F,14,Monoclinic,P2_1/c,2/m
LiV(SiO3)2,14,Monoclinic,P2_1/c,2/m
Ag5P(S2Cl)2,38,Orthorhombic,Amm2,mm2
Li4SiO4,11,Monoclinic,P2_1/m,2/m
Ca(GaO2)2,33,Orthorhombic,Pna2_1,mm2
CrBiO3,62,Orthorhombic,Pnma,mmm
CsUGa(PO5)2,2,Triclinic,P-1,-1
La8Ru4O21,185,Hexagonal,P6_3cm,6mm
SiO2,68,Orthorhombic,Ccce,mmm
NbBi(TeO4)2,61,Orthorhombic,Pbca,mmm
Ba6Na2Cr2Ru2O17,194,Hexagonal,P6_3/mmc,6/mmm
InSb2S4Br,12,Monoclinic,C2/m,2/m
NaLa(CO3)2,26,Orthorhombic,Pmc2_1,mm2
Rb2Zr(IO3)6,148,Trigonal,R-3,-3
XeF6,14,Monoclinic,P2_1/c,2/m
Na6Cu9(PO4)8,2,Triclinic,P-1,-1
La2MnVO6,14,Monoclinic,P2_1/c,2/m
Ge(PbS2)2,14,Monoclinic,P2_1/c,2/m
Bi3Pt3O11,201,Cubic,Pn-3,m-3
RbV2I3O13,46,Orthorhombic,Ima2,mm2
Ca3Ta4(O6F)2,212,Cubic,P4_332,432
Ba4Ho(RuO4)3,166,Trigonal,R-3m,-3m
RbIn3F10,17,Orthorhombic,P222_1,222
KMnF3,127,Tetragonal,P4/mbm,4/mmm
La4Ti9O24,70,Orthorhombic,Fddd,mmm
In2Ag2GeS6,9,Monoclinic,Cc,m
Cs2Al2P2O9,2,Triclinic,P-1,-1
AsPbClO2,19,Orthorhombic,P2_12_12_1,222
K2Zn(GeO3)2,20,Orthorhombic,C222_1,222
YTaO4,15,Monoclinic,C2/c,2/m
Sn2PCO6,14,Monoclinic,P2_1/c,2/m
P6Pb3Xe11F58,12,Monoclinic,C2/m,2/m
K4WS3O14,14,Monoclinic,P2_1/c,2/m
FePO4,61,Orthorhombic,Pbca,mmm
AsS4N4F5,11,Monoclinic,P2_1/m,2/m
La5Sb4(O4F)3,130,Tetragonal,P4/ncc,4/mmm
VPO5,85,Tetragonal,P4/n,4/m
KLi(PO3)2,14,Monoclinic,P2_1/c,2/m
SbP(Cl2F3)2,85,Tetragonal,P4/n,4/m
MoS3(NCl4)2,14,Monoclinic,P2_1/c,2/m
Er2Te5O13,2,Triclinic,P-1,-1
Cu3P4(SI)3,62,Orthorhombic,Pnma,mmm
Li5VP2O9,140,Tetragonal,I4/mcm,4/mmm
K3ZnNCl4O3,62,Orthorhombic,Pnma,mmm
RbMnVO4,173,Hexagonal,P6_3,6
AsSe(IF2)3,14,Monoclinic,P2_1/c,2/m
Na10U8W5O44,15,Monoclinic,C2/c,2/m
SrV2(PO5)2,43,Orthorhombic,Fdd2,mm2
BiP3Pb4O13,62,Orthorhombic,Pnma,mmm
LiCaNiF6,163,Trigonal,P-31c,-3m
BaNa2Nd2Si4CO15,62,Orthorhombic,Pnma,mmm
CuSb2BrO3,36,Orthorhombic,Cmc2_1,mm2
CdSbS2Br,12,Monoclinic,C2/m,2/m
V2Ni(TeO5)2,2,Triclinic,P-1,-1
PrGeBO5,144,Trigonal,P3_1,3
PS3N5F2,160,Trigonal,R3m,3m
LaGaSe2O,29,Orthorhombic,Pca2_1,mm2
LiScF4,88,Tetragonal,I4_1/a,4/m
LiMo2AsO9,59,Orthorhombic,Pmmn,mmm
AgSb(S8F3)2,15,Monoclinic,C2/c,2/m
MnC5(O2F)2,14,Monoclinic,P2_1/c,2/m
GaS5N5Cl4,62,Orthorhombic,Pnma,mmm
Na2U2Si(O4F)2,141,Tetragonal,I4_1/amd,4/mmm
SbS(BrF2)3,19,Orthorhombic,P2_12_12_1,222
Ba12Cl5F19,189,Hexagonal,P-62m,-6m2
Na3SbP2O9,19,Orthorhombic,P2_12_12_1,222
Ca2NbInO6,14,Monoclinic,P2_1/c,2/m
Ca2GeO4,62,Orthorhombic,Pnma,mmm
KLa(PS3)2,14,Monoclinic,P2_1/c,2/m
YSbMo2O9,15,Monoclinic,C2/c,2/m
RbNaLi6(SiO4)2,12,Monoclinic,C2/m,2/m
CaTeO3,78,Tetragonal,P4_3,4
RbLa9(IrO6)4,87,Tetragonal,I4/m,4/m
Na5Bi2As5O18,2,Triclinic,P-1,-1
Ba4Eu4Zn3PtO15,186,Hexagonal,P6_3mc,6mm
Rb(CoS)2,139,Tetragonal,I4/mmm,4/mmm
LaPb6BrO7,63,Orthorhombic,Cmcm,mmm
PO2,15,Monoclinic,C2/c,2/m
Cs3SbO3,198,Cubic,P2_13,23
CsK4TlO4,61,Orthorhombic,Pbca,mmm
Nb2Co(P2O7)3,14,Monoclinic,P2_1/c,2/m
CuCClO,31,Orthorhombic,Pmn2_1,mm2
Cr2(Se2O5)3,14,Monoclinic,P2_1/c,2/m
NbS3,2,Triclinic,P-1,-1
K2S2O7,15,Monoclinic,C2/c,2/m
Rb5CeCo2(NO2)12,201,Cubic,Pn-3,m-3
Mn2V2O7,2,Triclinic,P-1,-1
Co3(AsO4)2,14,Monoclinic,P2_1/c,2/m
V2CoH4C4(NO3)2,52,Orthorhombic,Pnna,mmm
SrCo2As2(H2O5)2,14,Monoclinic,P2_1/c,2/m
KLiCO3,14,Monoclinic,P2_1/c,2/m
LiCoH24C8(N2O3)4,164,Trigonal,P-3m1,-3m
Rb3CoNCl4O3,62,Orthorhombic,Pnma,mmm
OsOF4,14,Monoclinic,P2_1/c,2/m
KAu(SO4)2,15,Monoclinic,C2/c,2/m
Ba8Sb6S17,13,Monoclinic,P2/c,2/m
Na3FeS3,14,Monoclinic,P2_1/c,2/m
CsAlSiO4,62,Orthorhombic,Pnma,mmm
Na4Sc2(PO4)3,167,Trigonal,R-3c,-3m
Cs2KMnF6,225,Cubic,Fm-3m,m-3m
Ba2Nd2Si4O13,2,Triclinic,P-1,-1
TlSbO3,182,Hexagonal,P6_322,622
YAg3(PS4)2,15,Monoclinic,C2/c,2/m
Cu2SiS3,157,Trigonal,P31m,3m
Nd6S4N3Cl,62,Orthorhombic,Pnma,mmm
AuS5N5Cl4,11,Monoclinic,P2_1/m,2/m
Hg2PO3F,72,Orthorhombic,Ibam,mmm
CaTaAlO5,14,Monoclinic,P2_1/c,2/m
K3LiSiO4,14,Monoclinic,P2_1/c,2/m
BaCu(SiO3)2,142,Tetragonal,I4_1/acd,4/mmm
K2EuTa5O15,127,Tetragonal,P4/mbm,4/mmm
Na2FeCuF7,15,Monoclinic,C2/c,2/m
KCrF3,123,Tetragonal,P4/mmm,4/mmm
In2Cu3(PO4)4,14,Monoclinic,P2_1/c,2/m
Rb2Mo15S19,167,Trigonal,R-3c,-3m
Na3MgC2ClO6,227,Cubic,Fd-3m,m-3m
Li4Mo3O8,166,Trigonal,R-3m,-3m
WO3,57,Orthorhombic,Pbcm,mmm
Ba2Eu2ZnPtO8,62,Orthorhombic,Pnma,mmm
K3Gd5(PO4)6,15,Monoclinic,C2/c,2/m
SnS8(N2Cl)4,29,Orthorhombic,Pca2_1,mm2
As3Pb5ClO12,14,Monoclinic,P2_1/c,2/m
Na3Fe2Mo5O16,164,Trigonal,P-3m1,-3m
Sb3C2N(OF8)2,14,Monoclinic,P2_1/c,2/m
K2Te(WO4)3,62,Orthorhombic,Pnma,mmm
Tb4Zn5Ge6,36,Orthorhombic,Cmc2_1,mm2
CdI2,164,Trigonal,P-3m1,-3m
SmZn5,191,Hexagonal,P6/mmm,6/mmm
Dy5C2Br9,14,Monoclinic,P2_1/c,2/m
Sm(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
Sb,11,Monoclinic,P2_1/m,2/m
Y5Sn3,193,Hexagonal,P6_3/mcm,6/mmm
TbInPt,189,Hexagonal,P-62m,-6m2
BiAuCl6,2,Triclinic,P-1,-1
Nd2B5,15,Monoclinic,C2/c,2/m
Ho3Mn3Ga2Si,189,Hexagonal,P-62m,-6m2
HoSbPd,216,Cubic,F-43m,-43m
SrLa6OsI12,148,Trigonal,R-3,-3
GdNiBi,216,Cubic,F-43m,-43m
K8NbAs5Pb,15,Monoclinic,C2/c,2/m
Tb3CuGeSe7,173,Hexagonal,P6_3,6
Nd3CuGeSe7,173,Hexagonal,P6_3,6
La4As3,220,Cubic,I-43d,-43m
Ba(FeAs)2,139,Tetragonal,I4/mmm,4/mmm
La3MgBi5,193,Hexagonal,P6_3/mcm,6/mmm
CaSiN2,61,Orthorhombic,Pbca,mmm
NdBC,19,Orthorhombic,P2_12_12_1,222
Ba5Ga5Sn,187,Hexagonal,P-6m2,-6m2
K2SnHgSe4,121,Tetragonal,I-42m,-42m
K3SnIrCl8,31,Orthorhombic,Pmn2_1,mm2
Ag2Se,62,Orthorhombic,Pnma,mmm
Ca(CuSn)2,12,Monoclinic,C2/m,2/m
RbCdAg3(CN)6,149,Trigonal,P312,32
MnSbRh,216,Cubic,F-43m,-43m
La2B3Br,187,Hexagonal,P-6m2,-6m2
KAuCl4,14,Monoclinic,P2_1/c,2/m
Na2BeH4,11,Monoclinic,P2_1/m,2/m
KPr3Te8,14,Monoclinic,P2_1/c,2/m
PrCoGe,129,Tetragonal,P4/nmm,4/mmm
Nb3TeI7,156,Trigonal,P3m1,3m
Rb2AgBr3,62,Orthorhombic,Pnma,mmm
AlTlCl4,62,Orthorhombic,Pnma,mmm
KTiBr3,173,Hexagonal,P6_3,6
Pr10(B3C4)3,92,Tetragonal,P4_12_12,422
CuHgSeBr,51,Orthorhombic,Pmma,mmm
Ca7NbSi2N9,11,Monoclinic,P2_1/m,2/m
Nd(NiAs)2,139,Tetragonal,I4/mmm,4/mmm
TaSe2,166,Trigonal,R-3m,-3m
Pr2Co2I,194,Hexagonal,P6_3/mmc,6/mmm
La7C3I10,2,Triclinic,P-1,-1
Pr2B3Cl,194,Hexagonal,P6_3/mmc,6/mmm
Nb3Se10Br3,11,Monoclinic,P2_1/m,2/m
AlAs3(SeCl)4,15,Monoclinic,C2/c,2/m
Tb4CdRh,216,Cubic,F-43m,-43m
La3(SiNi)4,71,Orthorhombic,Immm,mmm
Tm(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
Cd2Ru(CN)6,162,Trigonal,P-31m,-3m
La2Rh7,194,Hexagonal,P6_3/mmc,6/mmm
Ta5Ga3,140,Tetragonal,I4/mcm,4/mmm
KInSnSe4,14,Monoclinic,P2_1/c,2/m
Tl5Se3,85,Tetragonal,P4/n,4/m
RbAu(CN)2,15,Monoclinic,C2/c,2/m
MnBi,194,Hexagonal,P6_3/mmc,6/mmm
ScB2,227,Cubic,Fd-3m,m-3m
SrLiGaN2,12,Monoclinic,C2/m,2/m
Ag10Te4Br3,36,Orthorhombic,Cmc2_1,mm2
BiI,12,Monoclinic,C2/m,2/m
Bi2Te3,166,Trigonal,R-3m,-3m
Ag10Te4Br3,63,Orthorhombic,Cmcm,mmm
FeAg3(CN)6,162,Trigonal,P-31m,-3m
CaAgBi,186,Hexagonal,P6_3mc,6mm
RbAuI3,12,Monoclinic,C2/m,2/m
DyFe2SiC,63,Orthorhombic,Cmcm,mmm
Cs2NaTbCl6,225,Cubic,Fm-3m,m-3m
V5Si3,140,Tetragonal,I4/mcm,4/mmm
Y(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
Mg8BPt4,227,Cubic,Fd-3m,m-3m
La16Al13,189,Hexagonal,P-62m,-6m2
TmAlRh,62,Orthorhombic,Pnma,mmm
Er5BiAu2,140,Tetragonal,I4/mcm,4/mmm
TbGa2Co3,191,Hexagonal,P6/mmm,6/mmm
CdBr2,166,Trigonal,R-3m,-3m
In4Br7,166,Trigonal,R-3m,-3m
Gd(Al3Ni)3,155,Trigonal,R32,32
Na2UBr6,164,Trigonal,P-3m1,-3m
Tl3SiTe3,2,Triclinic,P-1,-1
Er3AlC,221,Cubic,Pm-3m,m-3m
ICl,14,Monoclinic,P2_1/c,2/m
C,58,Orthorhombic,Pnnm,mmm
Mg15Si2Ir5,86,Tetragonal,P4_2/n,4/m
Th(Al5Fe)2,63,Orthorhombic,Cmcm,mmm
GaHg2SbCl4,33,Orthorhombic,Pna2_1,mm2
Cd(InSe2)2,111,Tetragonal,P-42m,-42m
La2GaN3,15,Monoclinic,C2/c,2/m
Cs(WCl3)3,147,Trigonal,P-3,-3
La2AlNi9,65,Orthorhombic,Cmmm,mmm
Np3Tl,221,Cubic,Pm-3m,m-3m
MnH16C4(NCl2)2,61,Orthorhombic,Pbca,mmm
KSm2Cl5,14,Monoclinic,P2_1/c,2/m
Y5Mg13Cu5,63,Orthorhombic,Cmcm,mmm
Hf54Os17,71,Orthorhombic,Immm,mmm
TlPAuSe3,12,Monoclinic,C2/m,2/m
Hg,139,Tetragonal,I4/mmm,4/mmm
ZrCuH8C2NCl6,14,Monoclinic,P2_1/c,2/m
NdB2Rh2C,139,Tetragonal,I4/mmm,4/mmm
Gd(NiSb)2,139,Tetragonal,I4/mmm,4/mmm
Ca(CoAs)2,139,Tetragonal,I4/mmm,4/mmm
Be(BC)2,59,Orthorhombic,Pmmn,mmm
Gd(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
ZnB2(CN)8,164,Trigonal,P-3m1,-3m
C,166,Trigonal,R-3m,-3m
Bi2(PSe3)3,2,Triclinic,P-1,-1
RbMnCl3,194,Hexagonal,P6_3/mmc,6/mmm
Sr(POs)2,139,Tetragonal,I4/mmm,4/mmm
Mg3Si8Ir3,216,Cubic,F-43m,-43m
PuNi4,12,Monoclinic,C2/m,2/m
Mo5As4,87,Tetragonal,I4/m,4/m
ErSi2Rh3,191,Hexagonal,P6/mmm,6/mmm
BaCa4(CuN2)2,130,Tetragonal,P4/ncc,4/mmm
SbH18C3(NCl2)3,14,Monoclinic,P2_1/c,2/m
Nd3MnBi5,193,Hexagonal,P6_3/mcm,6/mmm
Pr(GeRu)2,139,Tetragonal,I4/mmm,4/mmm
BP2N2Cl7,14,Monoclinic,P2_1/c,2/m
CoI2,164,Trigonal,P-3m1,-3m
CdI2,156,Trigonal,P3m1,3m
Ba2P7Cl,11,Monoclinic,P2_1/m,2/m
Ca3Zn2(CuP2)2,164,Trigonal,P-3m1,-3m
NaCe(PSe3)2,14,Monoclinic,P2_1/c,2/m
Nb(SeBr)2,12,Monoclinic,C2/m,2/m
HfCr2,194,Hexagonal,P6_3/mmc,6/mmm
MgCl2,40,Orthorhombic,Ama2,mm2
CaCdAu,62,Orthorhombic,Pnma,mmm
NdOs2,194,Hexagonal,P6_3/mmc,6/mmm
Ga2Te2Br7,14,Monoclinic,P2_1/c,2/m
Tb5BiAu2,140,Tetragonal,I4/mcm,4/mmm
ZrI3,59,Orthorhombic,Pmmn,mmm
CsZr6MnI14,64,Orthorhombic,Cmce,mmm
NaAuCl4,14,Monoclinic,P2_1/c,2/m
Ca(BH4)2,61,Orthorhombic,Pbca,mmm
Zr5Sb4,193,Hexagonal,P6_3/mcm,6/mmm
Bi2Pd,139,Tetragonal,I4/mmm,4/mmm
Ba(ZnAs)2,139,Tetragonal,I4/mmm,4/mmm
Ti3Pd5,123,Tetragonal,P4/mmm,4/mmm
MnCoSb,225,Cubic,Fm-3m,m-3m
PrSe2,14,Monoclinic,P2_1/c,2/m
HgC2(SeN)2,14,Monoclinic,P2_1/c,2/m
LiMgBi,216,Cubic,F-43m,-43m
Sm(AsPd)2,139,Tetragonal,I4/mmm,4/mmm
Tm(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
NdTl,221,Cubic,Pm-3m,m-3m
Ga2Pt,142,Tetragonal,I4_1/acd,4/mmm
UPb,141,Tetragonal,I4_1/amd,4/mmm
Cs2Li3Br5,12,Monoclinic,C2/m,2/m
CsZr6BI14,64,Orthorhombic,Cmce,mmm
RbNa5(WN3)2,14,Monoclinic,P2_1/c,2/m
KNa(BH4)2,156,Trigonal,P3m1,3m
Ba3(PSe4)2,14,Monoclinic,P2_1/c,2/m
Sr14Al8Ge3,148,Trigonal,R-3,-3
Zr2Al4C5,166,Trigonal,R-3m,-3m
Ba(NiP2)2,71,Orthorhombic,Immm,mmm
TiCl3,15,Monoclinic,C2/c,2/m
Ag2Hg7(P4Br3)2,12,Monoclinic,C2/m,2/m
MgNi3B2,181,Hexagonal,P6_422,622
La5C2I9,61,Orthorhombic,Pbca,mmm
NaB(CN)4,227,Cubic,Fd-3m,m-3m
SiC,156,Trigonal,P3m1,3m
SbCl5,14,Monoclinic,P2_1/c,2/m
Er3(P3Pd10)2,225,Cubic,Fm-3m,m-3m
EuI2,61,Orthorhombic,Pbca,mmm
U2MnN3,71,Orthorhombic,Immm,mmm
Y3(Ge3Pt2)2,11,Monoclinic,P2_1/m,2/m
Ba2Ge(TeSe)2,11,Monoclinic,P2_1/m,2/m
SiC,160,Trigonal,R3m,3m
Mg30Al24Ag19,200,Cubic,Pm-3,m-3
Sr4In13Au9,187,Hexagonal,P-6m2,-6m2
PrRe2,227,Cubic,Fd-3m,m-3m
Li2UI6,163,Trigonal,P-31c,-3m
Ho5Ga3,193,Hexagonal,P6_3/mcm,6/mmm
Cu2P8Se3I2,57,Orthorhombic,Pbcm,mmm
La4CdRu,216,Cubic,F-43m,-43m
Tb3AlC,221,Cubic,Pm-3m,m-3m
LiTaGeO5,14,Monoclinic,P2_1/c,2/m
K3Ho(SiO3)3,31,Orthorhombic,Pmn2_1,mm2
SbAs3(S2F3)2,57,Orthorhombic,Pbcm,mmm
BaUTiO6,14,Monoclinic,P2_1/c,2/m
Fe2TeO5,14,Monoclinic,P2_1/c,2/m
Er3O2F5,62,Orthorhombic,Pnma,mmm
Rb3Mo12PO40,224,Cubic,Pn-3m,m-3m
CsMn(PO3)4,4,Monoclinic,P2_1,2
YMoClO4,12,Monoclinic,C2/m,2/m
TbCl2F,15,Monoclinic,C2/c,2/m
Na2Pd(NO3)4,14,Monoclinic,P2_1/c,2/m
H5CNO3,56,Orthorhombic,Pccn,mmm
FeBi3(MoO6)2,15,Monoclinic,C2/c,2/m
HgCS(OF)3,2,Triclinic,P-1,-1
Fe4(P2O7)3,14,Monoclinic,P2_1/c,2/m
K2MnF6,186,Hexagonal,P6_3mc,6mm
K14(Tl7Cd3)3,189,Hexagonal,P-62m,-6m2
Cs(BBr)6,148,Trigonal,R-3,-3
Ce3GaBr3,221,Cubic,Pm-3m,m-3m
Sc3Zn17,204,Cubic,Im-3,m-3
Ge23Mo13,118,Tetragonal,P-4n2,-42m
GaSe3N2Cl5,14,Monoclinic,P2_1/c,2/m
CsEr(NbBr3)6,163,Trigonal,P-31c,-3m
NaLa6OsI12,148,Trigonal,R-3,-3
